idbeersales,category,subcategory,period,netsales,qtr,fyr,end_dt,end_qtr_dt,cyr
191,Import Beer,Europe Beer,FY 2022 Q1,21468330,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
192,Import Beer,Mexico And Caribbean Beer,FY 2021 Q1,15495375,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
193,Import Beer,Mexico And Caribbean Beer,FY 2021 Q2,18746416,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
194,Import Beer,Mexico And Caribbean Beer,FY 2021 Q3,6182590,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
195,Import Beer,Mexico And Caribbean Beer,FY 2021 Q4,1808334,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
196,Import Beer,Mexico And Caribbean Beer,FY 2022 Q1,3688402,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
197,Import Beer,Other Country Beer,FY 2021 Q1,54429,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
198,Import Beer,Other Country Beer,FY 2021 Q2,61143,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
199,Import Beer,Other Country Beer,FY 2021 Q3,80740,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
200,Import Beer,Other Country Beer,FY 2021 Q4,122427,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
201,Import Beer,Other Country Beer,FY 2022 Q1,117914,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
202,Import Beer,USA Beer,FY 2021 Q1,2361193,Q1,2021,06-30,2020-06-30T00:00:00Z,2020
203,Import Beer,USA Beer,FY 2021 Q2,2033265,Q2,2021,09-30,2020-09-30T00:00:00Z,2020
204,Import Beer,USA Beer,FY 2021 Q3,1561354,Q3,2021,12-31,2020-12-31T00:00:00Z,2020
205,Import Beer,USA Beer,FY 2021 Q4,1610268,Q4,2021,03-01,2021-03-01T00:00:00Z,2021
206,Import Beer,USA Beer,FY 2022 Q1,2078638,Q1,2022,06-30,2021-06-30T00:00:00Z,2021
207,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q2,123674577,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
208,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q3,108644393,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
209,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q4,99963195,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
210,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q2,41866455,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
211,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q3,33241563,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
212,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q4,31277187,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
213,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q2,50949953,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
214,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q3,45211597,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
215,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q4,40554230,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
216,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q2,46498265,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
217,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q3,32642755,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
218,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q4,29094978,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
219,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q2,190749,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
220,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q3,147712,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
221,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q4,97128,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
222,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q2,799486,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
223,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q3,620591,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
224,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q4,589032,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
225,Import Beer,Asia And South Pacific Beer,FY 2022 Q2,1397488,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
226,Import Beer,Asia And South Pacific Beer,FY 2022 Q3,1463254,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
227,Import Beer,Asia And South Pacific Beer,FY 2022 Q4,1408293,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
228,Import Beer,Europe Beer,FY 2022 Q2,21251499,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
229,Import Beer,Europe Beer,FY 2022 Q3,18991888,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
230,Import Beer,Europe Beer,FY 2022 Q4,18451253,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
231,Import Beer,Mexico And Caribbean Beer,FY 2022 Q2,3548890,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
232,Import Beer,Mexico And Caribbean Beer,FY 2022 Q3,1892591,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
233,Import Beer,Mexico And Caribbean Beer,FY 2022 Q4,2132370,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
234,Import Beer,Other Country Beer,FY 2022 Q2,114274,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
235,Import Beer,Other Country Beer,FY 2022 Q3,83505,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
236,Import Beer,Other Country Beer,FY 2022 Q4,38683,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
237,Import Beer,USA Beer,FY 2022 Q2,1580616,Q2,2022,09-30,2021-09-30T00:00:00Z,2021
238,Import Beer,USA Beer,FY 2022 Q3,1417490,Q3,2022,12-31,2021-12-31T00:00:00Z,2021
239,Import Beer,USA Beer,FY 2022 Q4,1381312,Q4,2022,03-01,2022-03-01T00:00:00Z,2022
240,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q4,110592944,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
241,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q1,141690807,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
