idbeersales,category,subcategory,period,netsales,qtr,fyr,end_dt,end_qtr_dt,cyr
355,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q4,198394,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
356,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2018 Q1,309283,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
357,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2018 Q2,323903,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
358,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2018 Q3,274542,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
359,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q4,2016810,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
360,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2018 Q1,2523972,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
361,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2018 Q2,2217827,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
362,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2018 Q3,2245752,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
363,Import Beer,Asia And South Pacific Beer,FY 2017 Q4,1536704,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
364,Import Beer,Asia And South Pacific Beer,FY 2018 Q1,1793519,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
365,Import Beer,Asia And South Pacific Beer,FY 2018 Q2,1953642,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
366,Import Beer,Asia And South Pacific Beer,FY 2018 Q3,1738618,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
367,Import Beer,Europe Beer,FY 2017 Q4,23253426,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
368,Import Beer,Europe Beer,FY 2018 Q1,29106495,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
369,Import Beer,Europe Beer,FY 2018 Q2,29339557,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
370,Import Beer,Europe Beer,FY 2018 Q3,27697976,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
371,Import Beer,Mexico And Caribbean Beer,FY 2017 Q4,7183259,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
372,Import Beer,Mexico And Caribbean Beer,FY 2018 Q1,14359256,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
373,Import Beer,Mexico And Caribbean Beer,FY 2018 Q2,15843915,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
374,Import Beer,Mexico And Caribbean Beer,FY 2018 Q3,8395108,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
375,Import Beer,Other Country Beer,FY 2017 Q4,47385,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
376,Import Beer,Other Country Beer,FY 2018 Q1,65728,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
377,Import Beer,Other Country Beer,FY 2018 Q2,74183,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
378,Import Beer,Other Country Beer,FY 2018 Q3,98138,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
379,Import Beer,USA Beer,FY 2017 Q4,9871585,Q4,2017,03-01,2017-03-01T00:00:00Z,2017
380,Import Beer,USA Beer,FY 2018 Q1,14441523,Q1,2018,06-30,2017-06-30T00:00:00Z,2017
381,Import Beer,USA Beer,FY 2018 Q2,15323588,Q2,2018,09-30,2017-09-30T00:00:00Z,2017
382,Import Beer,USA Beer,FY 2018 Q3,11589624,Q3,2018,12-31,2017-12-31T00:00:00Z,2017
383,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2016 Q4,121194549,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
384,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q1,162836804,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
385,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q2,156383482,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
386,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2017 Q3,136408637,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
387,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2016 Q4,19051360,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
388,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q1,24645680,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
389,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q2,25840980,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
390,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2017 Q3,23493563,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
391,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2016 Q4,27164307,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
392,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q1,36157449,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
393,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q2,37595779,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
394,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2017 Q3,32993606,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
395,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2016 Q4,10875776,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
396,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q1,18455619,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
397,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q2,18575862,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
398,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2017 Q3,10307025,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
399,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2016 Q4,186476,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
400,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q1,266712,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
401,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q2,260430,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
402,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2017 Q3,191845,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
403,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2016 Q4,2304096,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
404,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q1,2560056,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
405,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q2,2514621,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
406,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2017 Q3,2205595,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
407,Import Beer,Asia And South Pacific Beer,FY 2016 Q4,1476216,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
408,Import Beer,Asia And South Pacific Beer,FY 2017 Q1,1816808,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
409,Import Beer,Asia And South Pacific Beer,FY 2017 Q2,1848068,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
410,Import Beer,Asia And South Pacific Beer,FY 2017 Q3,1546861,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
411,Import Beer,Europe Beer,FY 2016 Q4,23421426,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
412,Import Beer,Europe Beer,FY 2017 Q1,28612964,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
413,Import Beer,Europe Beer,FY 2017 Q2,28922726,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
414,Import Beer,Europe Beer,FY 2017 Q3,26393812,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
415,Import Beer,Mexico And Caribbean Beer,FY 2016 Q4,7442899,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
416,Import Beer,Mexico And Caribbean Beer,FY 2017 Q1,13960348,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
417,Import Beer,Mexico And Caribbean Beer,FY 2017 Q2,15019939,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
418,Import Beer,Mexico And Caribbean Beer,FY 2017 Q3,7577561,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
419,Import Beer,Other Country Beer,FY 2016 Q4,46977,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
420,Import Beer,Other Country Beer,FY 2017 Q1,58474,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
421,Import Beer,Other Country Beer,FY 2017 Q2,56119,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
422,Import Beer,Other Country Beer,FY 2017 Q3,48495,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
423,Import Beer,USA Beer,FY 2016 Q4,10446022,Q4,2016,03-01,2016-03-01T00:00:00Z,2016
424,Import Beer,USA Beer,FY 2017 Q1,14073717,Q1,2017,06-30,2016-06-30T00:00:00Z,2016
425,Import Beer,USA Beer,FY 2017 Q2,14998898,Q2,2017,09-30,2016-09-30T00:00:00Z,2016
426,Import Beer,USA Beer,FY 2017 Q3,10723643,Q3,2017,12-31,2016-12-31T00:00:00Z,2016
427,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2023 Q1,124642669,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
428,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2023 Q1,42103560,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
429,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2023 Q1,52498243,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
430,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2023 Q1,45377415,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
431,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2023 Q1,193207,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
432,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2023 Q1,766928,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
433,Import Beer,Asia And South Pacific Beer,FY 2023 Q1,1808349,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
434,Import Beer,Europe Beer,FY 2023 Q1,22695273,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
435,Import Beer,Mexico And Caribbean Beer,FY 2023 Q1,3534009,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
436,Import Beer,Other Country Beer,FY 2023 Q1,26074,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
437,Import Beer,USA Beer,FY 2023 Q1,1910206,Q1,2023,06-30,2022-06-30T00:00:00Z,2022
